trade_date,open,high,low,close,vol,amount
20210115,3.82,3.86,3.78,3.8,276545.77,105341.652
20210114,3.85,3.87,3.81,3.83,282748.28,108541.152
20210113,3.81,3.87,3.78,3.85,413468.94,158269.979
20210112,3.72,3.83,3.7,3.81,398688.89,151147.938
20210111,3.76,3.81,3.71,3.73,353566.77,133125.532
20210108,3.73,3.78,3.69,3.77,342331.67,128137.516
20210107,3.71,3.77,3.68,3.74,456181.27,170359.932
20210106,3.68,3.7,3.66,3.7,243427.43,89553.188
20210105,3.71,3.72,3.66,3.68,333305.4,122755.563
20210104,3.68,3.73,3.66,3.71,271316.31,100415.965
20201231,3.68,3.71,3.65,3.68,219935.67,80990.283
20201230,3.65,3.69,3.64,3.67,198717.51,72897.996
20201229,3.68,3.7,3.65,3.66,220959.01,81128.984
20201228,3.71,3.72,3.66,3.67,184796.49,68127.429
20201225,3.65,3.73,3.64,3.71,201982.11,74759.722
20201224,3.72,3.72,3.65,3.66,193500.46,71088.57
20201223,3.7,3.74,3.69,3.71,164322.95,61062.357
20201222,3.78,3.78,3.68,3.68,241362.25,89904.407
20201221,3.78,3.8,3.73,3.78,255798.13,96587.723
20201218,3.75,3.78,3.73,3.74,252440.21,94796.949
20201217,3.67,3.75,3.66,3.75,225618.88,83881.881
20201216,3.67,3.71,3.65,3.69,155881.28,57429.091
20201215,3.66,3.7,3.62,3.68,179475.34,65703.617
20201214,3.68,3.68,3.63,3.66,228827.73,83500.471
20201211,3.73,3.75,3.66,3.69,250769.53,92616.605
20201210,3.67,3.73,3.66,3.72,228456.42,84854.282
20201209,3.75,3.75,3.67,3.67,294141.2,109191.565
20201208,3.76,3.78,3.73,3.73,222447.98,83560.96
20201207,3.82,3.84,3.76,3.78,289999.98,109858.164
20201204,3.88,3.88,3.81,3.83,256710.74,98220.868
20201203,3.91,3.91,3.85,3.87,276408.96,106931.058
20201202,3.88,3.93,3.84,3.9,373460.42,145086.944
20201201,3.85,3.89,3.82,3.88,294647.96,113774.6
20201130,3.91,3.96,3.84,3.84,396210.93,154875.356
20201127,3.88,3.92,3.84,3.9,291661.7,113138.429
20201126,3.91,3.92,3.86,3.89,279246.87,108456.259
20201125,3.97,3.99,3.9,3.9,383586.3,151480.861
20201124,3.95,3.97,3.92,3.94,288138.7,113717.323
20201123,3.88,3.98,3.87,3.95,575061.11,226585.189
20201120,3.85,3.89,3.82,3.88,286647.71,110698.08
20201119,3.87,3.9,3.83,3.85,372161.47,143690.405
20201118,3.87,3.91,3.85,3.86,313976.87,121746.64
20201117,3.89,3.92,3.85,3.88,343492.11,133206.626
20201116,3.78,3.92,3.78,3.88,614293.8,237287.005
20201113,3.8,3.82,3.74,3.78,293125.25,110588.946
20201112,3.81,3.83,3.78,3.82,234727.8,89271.679
20201111,3.76,3.85,3.75,3.81,355422.7,135531.931
20201110,3.8,3.83,3.76,3.77,317249.16,120378.278
20201109,3.73,3.81,3.73,3.78,395320.24,149435.243
20201106,3.69,3.74,3.69,3.71,217992.69,80817.774
20201105,3.65,3.71,3.65,3.7,227720.57,83770.624
20201104,3.66,3.66,3.61,3.65,175351.68,63767.199
20201103,3.62,3.67,3.61,3.66,198206.23,72176.243
20201102,3.61,3.63,3.59,3.6,246850.41,89084.907
20201030,3.7,3.7,3.61,3.63,271461.39,99100.946
20201029,3.69,3.71,3.66,3.69,197248.47,72677.589
20201028,3.71,3.74,3.68,3.72,218150.59,80907.566
20201027,3.73,3.74,3.68,3.73,257044.27,95375.343
20201026,3.75,3.75,3.69,3.71,135222.19,50224.333
20201023,3.71,3.75,3.7,3.73,170601.9,63690.608
20201022,3.74,3.75,3.7,3.71,183258.78,68168.724
20201021,3.73,3.76,3.7,3.75,193692.78,72342.044
20201020,3.76,3.76,3.71,3.73,114626.15,42734.298
20201019,3.74,3.79,3.74,3.75,223830.76,84194.45
20201016,3.72,3.77,3.71,3.74,185158.81,69353.781
20201015,3.74,3.75,3.7,3.72,161299.34,60071.183
20201014,3.71,3.72,3.68,3.72,150046.07,55566.515
20201013,3.73,3.73,3.7,3.7,139272.56,51627.415
20201012,3.66,3.74,3.66,3.73,221548.64,82192.314
20201009,3.62,3.69,3.62,3.66,184003.37,67418.218
20200930,3.65,3.65,3.59,3.59,173118.09,62590.028
20200929,3.65,3.67,3.62,3.63,166757.11,60757.391
20200928,3.63,3.66,3.62,3.63,149452.04,54338.071
20200925,3.65,3.66,3.62,3.65,156392.47,56929.536
20200924,3.68,3.68,3.62,3.62,264695.12,96206.184
20200923,3.73,3.73,3.68,3.69,178619.94,66018.033
20200922,3.73,3.75,3.68,3.71,241467.12,89716.675
20200921,3.78,3.81,3.74,3.75,226023.2,85121.515
20200918,3.72,3.79,3.7,3.78,244115.59,91732.225
20200917,3.69,3.76,3.68,3.73,232515.17,86491.036
20200916,3.67,3.74,3.66,3.69,215931.89,79896.077
20200915,3.73,3.74,3.64,3.68,386559.37,142053.331
20200914,3.74,3.8,3.71,3.73,318391.33,119361.179
20200911,3.84,3.85,3.71,3.73,715778.33,268947.845
20200910,3.93,3.96,3.87,3.88,437422.05,171239.757
20200909,3.87,3.94,3.85,3.92,502357.89,196619.643
20200908,3.83,3.9,3.83,3.89,325433.26,125701.092
20200907,3.92,3.95,3.81,3.83,376651.89,146071.781
20200904,3.89,3.93,3.87,3.92,300984.67,117374.428
20200903,3.95,4.0,3.92,3.93,340793.77,134870.122
20200902,3.89,3.99,3.89,3.94,550959.56,217382.476
20200901,3.88,3.92,3.86,3.89,334733.12,130246.933
20200831,3.87,3.93,3.86,3.89,547859.95,213879.82
20200828,3.79,3.86,3.77,3.85,518196.49,198486.663
20200827,3.8,3.81,3.76,3.79,246393.87,93419.458
20200826,3.79,3.83,3.76,3.79,349071.56,132444.576
20200825,3.86,3.87,3.78,3.78,376736.83,143484.813
20200824,3.85,3.88,3.82,3.84,261756.06,100680.69
20200821,3.81,3.85,3.81,3.83,278537.91,106590.888
20200820,3.82,3.87,3.79,3.81,421047.58,160999.447
20200819,3.8,3.91,3.76,3.84,693186.13,266661.593
20200818,3.82,3.85,3.79,3.8,311360.24,118790.426
20200817,3.76,3.82,3.75,3.8,387898.54,147146.364
20200814,3.73,3.76,3.71,3.75,203492.88,75978.804
20200813,3.73,3.76,3.72,3.73,222585.55,83221.886
20200812,3.73,3.74,3.68,3.72,325818.93,120838.168
20200811,3.76,3.78,3.72,3.73,244170.3,91612.194
20200810,3.74,3.78,3.72,3.76,261371.53,98167.682
20200807,3.8,3.8,3.71,3.75,303888.63,113932.868
20200806,3.8,3.82,3.73,3.81,305329.23,115395.638
20200805,3.81,3.81,3.75,3.79,301010.67,113806.012
20200804,3.85,3.85,3.79,3.81,315352.75,120261.707
20200803,3.76,3.83,3.76,3.83,492577.43,187806.688
20200731,3.7,3.76,3.68,3.72,291115.94,108367.952
20200730,3.72,3.77,3.7,3.71,248702.01,92645.975
20200729,3.67,3.73,3.63,3.73,291488.22,107717.208
20200728,3.69,3.71,3.64,3.67,232537.14,85583.878
20200727,3.71,3.73,3.64,3.67,298123.26,109752.279
20200724,3.92,3.94,3.6,3.84,630176.22,241493.545
20200723,3.93,3.96,3.86,3.92,485158.99,189322.829
20200722,3.99,4.02,3.94,3.96,506247.22,201070.187
20200721,4.08,4.08,3.94,3.97,597511.79,238680.385
20200720,3.8,4.07,3.79,4.02,1017498.59,403917.592
20200717,3.79,3.82,3.72,3.75,448270.73,168873.255
20200716,3.88,3.92,3.77,3.78,591624.45,228226.694
20200715,4.02,4.03,3.82,3.88,755064.9,295192.957
20200714,4.09,4.12,3.96,4.02,925874.69,372240.405
20200713,4.02,4.17,4.02,4.1,1043047.18,426370.21
20200710,3.92,4.03,3.9,3.92,1050705.98,415673.685
20200709,3.89,3.95,3.82,3.91,860633.68,333603.844
20200708,3.76,3.91,3.72,3.9,972779.04,372535.359
20200707,3.81,3.89,3.73,3.74,891158.27,337763.516
20200706,3.6,3.78,3.6,3.78,979576.4,362294.488
20200703,3.5,3.57,3.5,3.56,585762.43,207805.086
20200702,3.45,3.51,3.44,3.51,426990.33,148646.046
20200701,3.43,3.45,3.41,3.45,255091.6,87602.68
20200630,3.44,3.46,3.42,3.43,242356.88,83252.448
20200629,3.42,3.43,3.4,3.43,185774.45,63452.484
20200624,3.43,3.44,3.41,3.42,149383.76,51154.866
20200623,3.46,3.46,3.42,3.42,231488.41,79326.387
20200622,3.47,3.48,3.44,3.45,227125.3,78426.425
20200619,3.48,3.52,3.45,3.47,334134.81,115829.011
20200618,3.44,3.55,3.42,3.5,696030.78,243753.422
20200617,3.39,3.48,3.38,3.44,553432.45,190123.817
20200616,3.36,3.42,3.34,3.4,407493.37,138004.442
20200615,3.34,3.37,3.33,3.35,236500.42,79282.316
20200612,3.32,3.37,3.3,3.35,258245.64,86261.716
20200611,3.37,3.38,3.33,3.35,255010.82,85688.047
20200610,3.39,3.39,3.36,3.37,193965.92,65469.5
20200609,3.39,3.4,3.38,3.38,185636.94,62889.857
20200608,3.39,3.41,3.37,3.4,257495.65,87397.772
20200605,3.38,3.38,3.36,3.37,151279.06,50975.283
20200604,3.38,3.38,3.36,3.37,134250.84,45243.601
20200603,3.38,3.4,3.36,3.36,251665.02,85086.162
20200602,3.35,3.38,3.34,3.38,274170.62,92293.05
20200601,3.31,3.36,3.31,3.35,395775.73,132301.134
20200529,3.34,3.36,3.3,3.3,340266.89,113169.106
20200528,3.34,3.37,3.32,3.36,256783.47,85948.442
20200527,3.34,3.35,3.31,3.33,241302.91,80293.093
20200526,3.33,3.34,3.32,3.33,260259.21,86596.448
20200525,3.32,3.33,3.3,3.32,153686.25,50988.771
20200522,3.35,3.36,3.31,3.32,255831.0,85281.934
20200521,3.38,3.38,3.34,3.35,230992.7,77462.588
20200520,3.38,3.39,3.35,3.37,255431.36,85877.993
20200519,3.39,3.41,3.37,3.38,309084.97,104541.582
20200518,3.39,3.4,3.36,3.37,304409.7,102792.748
20200515,3.38,3.4,3.37,3.38,203256.14,68777.46
20200514,3.41,3.41,3.38,3.38,253474.41,85944.016
20200513,3.45,3.45,3.4,3.43,188373.0,64437.695
20200512,3.48,3.48,3.42,3.44,236426.65,81409.297
20200511,3.49,3.49,3.46,3.47,223061.56,77555.128
20200508,3.46,3.49,3.45,3.48,282645.5,98122.652
20200507,3.47,3.48,3.44,3.46,232305.54,80465.271
20200506,3.45,3.49,3.44,3.47,216992.31,75065.814
20200430,3.43,3.46,3.42,3.46,145291.33,50114.225
