ts_code,trade_date,open,high,low,close,vol,amount
002950.SZ,20190311,13.24,15.88,13.24,15.88,270.16,428.598
002950.SZ,20190312,17.47,17.47,17.47,17.47,87.99,153.718
002950.SZ,20190313,19.22,19.22,19.22,19.22,78.35,150.588
002950.SZ,20190314,21.14,21.14,21.14,21.14,434.02,917.518
002950.SZ,20190315,23.25,23.25,23.25,23.25,693.61,1612.643
002950.SZ,20190318,25.58,25.58,25.58,25.58,1126.29,2881.049
002950.SZ,20190319,28.14,28.14,28.14,28.14,1587.38,4466.887
002950.SZ,20190320,30.95,30.95,30.95,30.95,5541.28,17150.261
002950.SZ,20190321,34.05,34.05,34.05,34.05,3445.48,11731.859
002950.SZ,20190322,37.46,37.46,35.35,37.46,304015.53,1117904.306
002950.SZ,20190325,36.0,36.97,35.11,36.5,197390.79,710999.514
002950.SZ,20190326,36.4,38.38,36.21,37.22,234764.72,881774.58
002950.SZ,20190327,35.98,35.98,34.16,34.88,172322.3,602778.676
002950.SZ,20190328,34.0,34.48,33.06,33.32,143259.95,481670.969
002950.SZ,20190329,33.29,34.17,32.2,34.04,147643.04,492047.56
002950.SZ,20190401,33.5,34.67,33.36,34.52,145610.85,497819.946
002950.SZ,20190402,34.48,34.95,33.52,34.7,152080.25,519400.249
002950.SZ,20190403,34.2,34.87,33.66,33.69,110637.43,377885.493
002950.SZ,20190404,33.45,36.82,33.45,35.7,186583.47,649671.524
002950.SZ,20190408,35.24,35.9,33.16,33.37,148981.63,512540.299
002950.SZ,20190409,32.44,32.5,31.4,31.79,98292.32,313222.965
002950.SZ,20190410,31.57,32.78,31.57,32.03,71885.67,232548.518
002950.SZ,20190411,32.16,32.2,30.61,30.91,80124.55,248805.154
002950.SZ,20190412,31.0,31.31,30.03,30.57,51207.4,157713.999
002950.SZ,20190415,30.85,31.35,30.57,30.68,43203.65,133644.032
002950.SZ,20190416,30.63,30.63,29.4,30.47,55668.73,166931.375
002950.SZ,20190417,30.14,30.8,30.11,30.36,41523.92,126269.443
002950.SZ,20190418,30.21,31.34,30.14,30.6,61204.99,188431.599
002950.SZ,20190419,30.35,30.6,29.89,30.38,42363.03,127986.533
002950.SZ,20190422,30.35,30.85,29.14,30.42,66239.47,198482.839
002950.SZ,20190423,30.17,31.32,29.68,31.25,84794.62,261494.825
002950.SZ,20190424,31.04,31.3,29.58,29.9,64414.93,194329.014
002950.SZ,20190425,29.63,30.16,27.63,27.78,56291.79,163437.897
002950.SZ,20190426,28.0,28.51,26.5,26.71,52137.21,141630.921
002950.SZ,20190429,27.1,27.2,24.87,25.17,43537.6,114094.842
002950.SZ,20190430,25.3,25.55,25.01,25.26,27943.98,70707.741
002950.SZ,20190506,24.4,24.4,22.73,22.73,47451.64,110790.999
002950.SZ,20190507,23.06,23.78,22.8,23.45,39437.11,91818.724
002950.SZ,20190508,23.0,25.7,22.28,24.72,65120.03,158101.304
002950.SZ,20190509,24.23,24.85,24.0,24.0,37091.78,90461.683
002950.SZ,20190510,24.1,24.77,23.28,24.37,40218.04,97737.876
002950.SZ,20190513,24.29,25.77,24.02,25.29,51010.1,127862.356
002950.SZ,20190514,24.69,25.15,24.31,24.43,32371.88,79777.045
002950.SZ,20190515,24.59,24.86,24.46,24.65,24222.3,59679.806
002950.SZ,20190516,24.75,25.03,24.61,24.68,23538.91,58326.235
002950.SZ,20190517,24.68,24.68,22.72,22.91,43661.63,102860.618
002950.SZ,20190520,22.93,23.07,21.97,22.39,23578.38,52944.156
002950.SZ,20190521,22.5,22.79,22.35,22.69,21678.87,49087.259
002950.SZ,20190522,22.61,22.75,22.02,22.12,24450.51,54511.446
002950.SZ,20190523,21.96,22.1,21.33,21.8,29222.0,63327.752
002950.SZ,20190524,21.73,22.45,21.65,22.28,30044.95,66375.228
002950.SZ,20190527,22.28,23.3,22.05,23.17,42374.18,96772.261
002950.SZ,20190528,23.18,23.6,22.74,22.85,34251.79,79374.805
