ts_code,trade_date,open,high,low,close,vol,amount
600325.SH,20190102,6.24,6.26,6.09,6.12,117619.16,72182.943
600325.SH,20190103,6.13,6.21,6.07,6.08,96384.63,58948.608
600325.SH,20190104,6.03,6.22,6.03,6.22,143076.57,87897.35
600325.SH,20190107,6.27,6.36,6.25,6.32,174389.64,109933.14
600325.SH,20190108,6.3,6.38,6.26,6.35,120487.52,75996.125
600325.SH,20190109,6.4,6.48,6.33,6.33,207983.73,133335.561
600325.SH,20190110,6.33,6.37,6.21,6.25,107693.56,67849.428
600325.SH,20190111,6.29,6.4,6.25,6.39,171029.4,108098.602
600325.SH,20190114,6.36,6.43,6.32,6.33,106025.75,67572.425
600325.SH,20190115,6.31,6.45,6.25,6.43,133570.59,85167.38
600325.SH,20190116,6.42,6.57,6.39,6.47,188084.82,121930.4
600325.SH,20190117,6.47,6.51,6.43,6.46,97252.44,62886.554
600325.SH,20190118,6.46,6.5,6.41,6.48,149408.6,96577.099
600325.SH,20190121,6.48,6.57,6.41,6.45,128996.32,83615.083
600325.SH,20190122,6.44,6.52,6.34,6.37,92671.98,59541.196
600325.SH,20190123,6.37,6.42,6.35,6.39,70884.66,45231.923
600325.SH,20190124,6.39,6.43,6.3,6.38,84940.91,54105.121
600325.SH,20190125,6.4,6.52,6.37,6.46,159975.19,103316.938
600325.SH,20190128,6.51,6.54,6.48,6.5,180157.98,117284.548
600325.SH,20190129,6.51,6.6,6.46,6.58,263073.29,171953.666
600325.SH,20190130,6.58,6.89,6.55,6.78,362888.33,245621.507
600325.SH,20190131,6.65,6.84,6.64,6.75,288319.05,194805.072
600325.SH,20190201,6.82,6.85,6.74,6.81,174908.5,118891.488
600325.SH,20190211,6.82,6.91,6.75,6.89,207992.86,142044.516
600325.SH,20190212,6.87,7.13,6.78,6.97,420509.67,292574.865
600325.SH,20190213,6.93,7.02,6.87,6.96,275742.63,191412.471
600325.SH,20190214,6.93,7.07,6.86,7.0,219170.43,153013.525
600325.SH,20190215,6.99,7.02,6.85,6.89,240691.13,166178.671
600325.SH,20190218,7.01,7.13,6.97,7.11,345148.3,242994.233
600325.SH,20190219,7.37,7.75,7.22,7.26,1015920.04,752959.164
600325.SH,20190220,7.23,7.36,7.13,7.25,441988.58,320794.644
600325.SH,20190221,7.28,7.35,7.07,7.08,351664.26,252737.45
600325.SH,20190222,7.1,7.13,6.99,7.13,291195.41,205625.643
600325.SH,20190225,7.16,7.4,7.08,7.36,681128.77,494976.858
600325.SH,20190226,7.38,7.39,7.21,7.27,550119.2,402063.801
600325.SH,20190227,7.26,7.47,7.22,7.35,533956.46,392884.442
600325.SH,20190228,7.35,7.53,7.34,7.4,298122.04,221578.827
600325.SH,20190301,7.45,7.45,7.26,7.38,320284.93,235112.284
600325.SH,20190304,7.43,7.71,7.4,7.6,689577.31,524260.53
600325.SH,20190305,7.64,7.95,7.59,7.88,539653.3,422786.516
600325.SH,20190306,7.92,8.04,7.8,7.95,403364.87,319481.205
600325.SH,20190307,7.92,8.06,7.77,7.87,474514.81,375080.342
600325.SH,20190308,7.77,7.77,7.38,7.53,625060.94,472810.795
600325.SH,20190311,7.33,7.57,7.33,7.55,346563.78,257860.723
600325.SH,20190312,7.58,7.76,7.52,7.6,382192.55,293089.486
600325.SH,20190313,7.6,7.94,7.51,7.77,602199.63,467534.63
600325.SH,20190314,7.75,7.89,7.55,7.57,293511.43,225362.796
600325.SH,20190315,7.71,8.16,7.69,8.1,731270.67,583365.737
600325.SH,20190318,8.26,8.91,8.26,8.73,939223.93,806141.525
600325.SH,20190319,8.88,9.38,8.8,8.89,800117.46,723668.233
600325.SH,20190320,8.91,9.16,8.71,9.0,554902.28,496789.603
600325.SH,20190321,9.0,9.2,8.82,8.97,416536.29,374613.258
600325.SH,20190322,8.93,9.16,8.89,9.11,387633.17,350598.632
600325.SH,20190325,8.85,9.09,8.8,8.81,376742.28,336108.582
600325.SH,20190326,8.92,9.13,8.75,8.76,366966.61,326562.298
600325.SH,20190327,8.86,9.28,8.76,9.21,557285.29,506460.182
600325.SH,20190328,9.24,9.42,8.91,8.98,495037.65,452027.094
600325.SH,20190329,9.0,9.36,8.9,9.28,490820.47,451256.842
600325.SH,20190401,9.6,9.98,9.58,9.79,713291.37,699666.158
600325.SH,20190402,10.5,10.5,9.84,9.99,917265.0,926967.582
600325.SH,20190403,9.8,10.03,9.75,10.0,456334.47,450343.236
600325.SH,20190404,10.03,10.47,9.93,10.16,538860.78,548387.816
600325.SH,20190408,10.26,10.29,9.85,10.04,513964.72,516490.121
600325.SH,20190409,10.18,10.45,10.15,10.3,571888.6,589939.656
600325.SH,20190410,10.22,10.6,10.08,10.14,459109.87,472508.963
600325.SH,20190411,10.11,10.23,9.86,9.91,377565.92,377682.657
600325.SH,20190412,9.92,10.03,9.88,9.98,244202.88,243212.287
600325.SH,20190415,10.17,10.33,9.96,10.01,318644.84,323956.905
600325.SH,20190416,9.6,9.69,9.01,9.27,1039606.38,954910.416
600325.SH,20190417,9.28,9.28,8.92,9.03,844180.58,764390.207
600325.SH,20190418,9.09,9.16,8.96,9.06,455830.7,411427.233
600325.SH,20190419,9.07,9.08,8.66,8.85,658424.0,581863.052
600325.SH,20190422,8.76,8.8,8.45,8.49,657867.73,563804.876
600325.SH,20190423,8.55,8.66,8.47,8.51,362932.36,310514.676
600325.SH,20190424,8.52,8.72,8.43,8.67,414289.24,356322.879
600325.SH,20190425,8.66,8.79,8.49,8.51,311010.49,269584.651
600325.SH,20190426,8.49,8.59,8.29,8.38,296307.05,249329.021
600325.SH,20190429,8.39,8.59,8.34,8.46,281148.17,237467.842
600325.SH,20190430,8.43,8.53,8.4,8.48,206173.59,174720.761
600325.SH,20190506,8.1,8.23,7.64,7.72,481976.9,381520.373
600325.SH,20190507,7.75,8.12,7.75,8.03,385470.04,306541.767
600325.SH,20190508,7.84,8.29,7.84,8.08,342464.96,278432.342
600325.SH,20190509,7.96,8.18,7.9,7.91,177266.98,141660.369
600325.SH,20190510,8.0,8.19,7.71,8.15,273815.12,220333.099
600325.SH,20190513,8.03,8.07,7.93,7.96,163840.73,130980.338
600325.SH,20190514,7.9,8.0,7.8,7.89,164892.17,130529.774
600325.SH,20190515,7.95,8.14,7.95,8.08,188433.81,151796.069
600325.SH,20190516,8.07,8.1,7.98,8.06,140253.39,112834.309
600325.SH,20190517,8.06,8.12,7.72,7.75,217404.67,171543.721
600325.SH,20190520,7.76,7.83,7.57,7.66,193385.07,147913.614
600325.SH,20190521,7.67,7.82,7.66,7.74,122199.04,94723.608
600325.SH,20190522,7.74,7.8,7.5,7.53,233244.07,176997.642
600325.SH,20190523,7.55,7.68,7.47,7.58,172485.72,130882.912
600325.SH,20190524,7.65,7.85,7.63,7.73,219943.88,170389.119
600325.SH,20190527,7.78,8.05,7.76,7.97,369966.02,294298.837
600325.SH,20190528,7.94,8.02,7.85,7.9,159268.69,126363.653
600325.SH,20190529,7.9,7.95,7.81,7.81,143631.91,113032.322
600325.SH,20190530,7.85,7.89,7.7,7.85,196775.97,153623.394
600325.SH,20190531,7.85,8.13,7.83,8.08,274780.91,221544.87
600325.SH,20190603,8.13,8.15,7.84,7.92,179759.82,143127.962
600325.SH,20190604,7.88,8.04,7.88,8.01,160523.78,127952.695
600325.SH,20190605,8.07,8.18,7.94,8.09,260260.46,209975.276
600325.SH,20190606,8.06,8.07,7.83,8.0,201374.38,159935.544
600325.SH,20190610,8.01,8.19,7.96,8.08,170663.22,138592.153
600325.SH,20190611,8.08,8.35,8.08,8.3,244090.51,201561.969
600325.SH,20190612,8.27,8.29,8.09,8.1,204915.74,166883.845
600325.SH,20190613,8.08,8.13,8.0,8.06,95809.06,77072.667
600325.SH,20190614,8.11,8.21,8.03,8.05,131951.25,107047.293
600325.SH,20190617,8.04,8.11,7.98,7.99,128879.7,103586.833
600325.SH,20190618,7.99,8.06,7.83,7.85,166658.33,131327.057
600325.SH,20190619,8.03,8.13,7.9,7.93,220981.83,177315.368
600325.SH,20190620,7.94,8.18,7.87,8.1,256531.02,206417.924
600325.SH,20190621,8.13,8.21,8.01,8.04,237449.37,192350.041
600325.SH,20190624,8.07,8.09,7.95,7.99,148798.16,119092.991
600325.SH,20190625,7.97,8.02,7.82,7.89,188820.63,148902.759
600325.SH,20190626,7.87,7.92,7.85,7.9,117919.86,93009.669
600325.SH,20190627,7.87,7.98,7.87,7.95,150419.02,119296.046
600325.SH,20190628,7.96,7.96,7.8,7.81,145168.23,113838.139
600325.SH,20190701,7.96,8.06,7.9,8.06,216859.73,173347.836
600325.SH,20190702,8.07,8.28,7.96,8.22,310048.91,252117.351
600325.SH,20190703,8.22,8.58,8.13,8.47,486595.56,409288.732
600325.SH,20190704,8.45,8.78,8.45,8.6,433050.47,373033.524
600325.SH,20190705,8.43,8.53,8.32,8.45,230018.11,194112.496
600325.SH,20190708,8.45,8.48,8.14,8.21,382068.26,314959.782
600325.SH,20190709,8.26,8.54,8.25,8.3,281082.47,236038.221
600325.SH,20190710,8.37,8.45,8.08,8.18,194322.49,159874.774
600325.SH,20190711,8.21,8.32,8.07,8.1,155299.66,127176.182
600325.SH,20190712,8.15,8.32,8.08,8.21,180583.18,148321.309
600325.SH,20190715,8.16,8.23,7.96,8.13,245930.99,199213.797
